MQ	Gamma/MQ	Gamma/MQ(%)	sigmaHat(tW_tj)(pb)	QCDscaleUp(%)	QCDscaleUp(%)	sigma(tW_tj)(fb)	kappa
700	7	1	432.38	27.7	-19.9	107.5107770875	0.2738864113
700	70	10	46.0939	28.8	-20.5	1146.1193875737	0.8661048797
700	140	20	23.2099	29.3	-20.7	2308.4457052797	1.2248572673
700	210	30	15.6178	29.8	-21	3495.0127965141	1.5001376564
800	8	1	420.453	28.6	-20.4	55.993070934	0.2343031311
800	80	10	44.1387	29.7	-20.9	587.8091867667	0.7409315573
800	160	20	21.8901	30.1	-21.1	1166.0698551831	1.0478354571
800	240	30	14.5225	30.6	-21.4	1740.6070009624	1.2833311022
900	9	1	398.638	29.4	-20.8	31.1809776507	0.2051169937
900	90	10	41.3257	30.5	-21.4	323.244579819	0.648636887
900	180	20	20.2458	30.8	-21.5	633.4407029137	0.9173110826
900	270	30	13.2577	31.3	-21.7	933.3009965421	1.1234720439
1000	10	1	370.892	30.3	-21.3	18.2288882678	0.1826215665
1000	100	10	38.0352	31.3	-21.8	186.9383569998	0.5775001001
1000	200	20	18.4346	31.6	-21.9	362.41521916	0.8167084738
1000	300	30	11.948	31.9	-22.1	528.5066308289	1.0002595147
1100	11	1	339.594	31.1	-21.7	11.0436341015	0.1647069347
1100	110	10	34.67	32	-22.2	112.7472200031	0.52084906
1100	220	20	16.6274	32.3	-22.3	216.2899481834	0.7365918046
1100	330	30	10.7122	32.6	-22.4	313.5257263068	0.902137035
1200	12	1	307.912	31.8	-22	6.9022393279	0.1500772055
1200	120	10	31.1872	32.7	-22.5	69.9100776736	0.4745857942
1200	240	20	14.8925	32.9	-22.6	133.53373586	0.6711656667
1200	360	30	9.52657	33.2	-22.7	192.1951710305	0.8220067082
1300	13	1	276.478	32.4	-22.4	4.4165900732	0.1378892828
1300	130	10	27.9465	33.3	-22.8	44.6430582111	0.4360441986
1300	260	20	13.2814	33.5	-22.9	84.8653410373	0.6166596194
1300	390	30	8.44618	33.7	-23	121.430939424	0.7552507063
1400	14	1	247.624	33	-22.7	2.8978924561	0.1275693277
1400	140	10	24.8778	33.9	-23.1	29.1139747939	0.4034096353
1400	280	20	11.7779	34.1	-23.2	55.1337310734	0.5705073774
1400	420	30	7.45044	34.3	-23.3	78.4718625147	0.6987259845
1500	15	1	219.874	33.7	-23	1.9295735686	0.1187123085
1500	150	10	22.0693	34.5	-23.4	19.3676096113	0.3754012813
1500	300	20	10.3947	34.7	-23.5	36.4887860742	0.5308975833
1500	450	30	6.55766	34.8	-23.5	51.7939304642	0.6502140924
1600	16	1	194.951	34.3	-23.3	1.3088568431	0.1110236637
1600	160	10	19.4951	35.1	-23.7	13.0885684311	0.3510876515
1600	320	20	9.15678	35.1	-23.7	24.5906184915	0.4965129184
1600	480	30	5.76718	35.3	-23.8	34.8475858426	0.6081016504
1700	17	1	171.698	34.8	-23.6	0.89729672	0.1042837394
1700	17	1	171.698	34.9	-23.6	0.89729672	0.1042837394
1700	170	10	17.1519	35.7	-24	8.9636126292	0.3297741393
1700	340	20	8.04902	35.7	-24	16.8257271379	0.4663710603
1700	510	30	5.05816	35.8	-24	23.790628543	0.5711855643
1800	18	1	150.955	35.4	-23.9	0.6234643159	0.098325216
1800	18	1	150.955	35.5	-23.9	0.6234643159	0.098325216
1800	180	10	15.0926	36.1	-24.2	6.2334454205	0.3109316341
1800	360	20	7.06436	36.2	-24.2	11.6707002082	0.4397237339
1800	540	30	4.42835	36.2	-24.2	16.4607093708	0.538549388
1900	19	1	132.543	36	-24.1	0.4384645964	0.093018283
1900	190	10	13.2475	36.7	-24.4	4.3823964608	0.2941496382
1900	380	20	6.19105	36.7	-24.4	8.1922281513	0.4159904077
1900	570	30	3.88092	36.7	-24.5	11.55460054	0.5094821184
2000	20	1	115.948	36.6	-24.4	0.3109105372	0.0882606109
2000	200	10	11.5445	37.2	-24.7	3.0956176011	0.2791045583
2000	400	20	5.42296	37.1	-24.7	5.8165915981	0.3947134516
2000	600	30	3.39436	37.1	-24.7	8.1916726619	0.4834232755
