MQ	Gamma/MQ	Gamma/MQ(%)	sigmaHat(tW_bj)(pb)	QCDscaleUp(%)	QCDscaleUp(%)	sigmaSinglet(tW_bj)(fb)	kappaSinglet	sigmaDoublet2(tW_bj)(fb)	kappaDoublet2
700	7	1	1966.91	27.8	-19.9	67.9083716465	0.1860226901	319.1108545694	0.2738864113
700	70	10	194.915	28.2	-20.2	672.9520038777	0.5882553971	3162.2947780219	0.8661048797
700	140	20	95.2725	28.7	-20.4	1315.7288005426	0.8319187607	6182.7920732441	1.2248572673
700	210	30	62.4965	29.1	-20.6	1941.9454849196	1.0188882356	9125.4711045934	1.5001376564
800	8	1	1841.08	29	-20.6	35.4338524455	0.1607376599	159.9779681122	0.2343031311
800	80	10	179.904	29.4	-20.8	346.247408606	0.508297111	1563.2496347391	0.7409315573
800	160	20	87.0941	29.7	-21	670.4932948654	0.7188406681	3027.1660443999	1.0478354571
800	240	30	56.4893	30.1	-21.1	978.485545906	0.8803964216	4417.6999862426	1.2833311022
900	9	1	1684.9	30	-21.1	19.5598470202	0.1416540658	85.9915639953	0.2051169937
900	90	10	163.259	30.4	-21.3	189.5258510697	0.4479494876	833.2183955316	0.648636887
900	180	20	78.3608	30.7	-21.5	363.873288713	0.6334962407	1599.7074598907	0.9173110826
900	270	30	50.2774	31.1	-21.7	525.2990844066	0.7758712718	2309.3887077314	1.1234720439
1000	10	1	1514.39	31.1	-21.7	11.2543252922	0.1267073027	48.5647475127	0.1826215665
1000	100	10	146.438	31.4	-21.8	108.8267148581	0.4006836727	469.6098426608	0.5775001001
1000	200	20	69.6101	31.6	-21.9	206.9254839302	0.5666522842	892.9263745368	0.8167084738
1000	300	30	44.461	31.9	-22.1	297.3743230838	0.694004479	1283.2318724026	1.0002595147
1100	11	1	1352.91	32	-22.1	6.7434739059	0.1146660644	28.7072500671	0.1647069347
1100	110	10	129.894	32.3	-22.3	64.7446466903	0.3626059339	275.6206651005	0.52084906
1100	220	20	61.5045	32.5	-22.4	122.6257447568	0.5128022296	522.0229170454	0.7365918046
1100	330	30	39.0087	32.7	-22.5	174.9922282331	0.6280519007	744.9492243548	0.902137035
1200	12	1	1198.39	32.9	-22.6	4.1596442964	0.1047479948	17.5279958031	0.1500772055
1200	120	10	114.817	33.2	-22.7	39.8532930997	0.3312422438	167.934636815	0.4745857942
1200	240	20	54.1308	33.3	-22.8	75.1557918469	0.4684472736	316.6930415708	0.6711656667
