MQ	Gamma/MQ	Gamma/MQ(%)	sigmaHat(tW_tj)(pb)	QCDscaleUp(%)	QCDscaleUp(%)	sigmaSinglet(tW_tj)(fb)	kappaSinglet	sigmaDoublet2(tW_tj)(fb)	kappaDoublet2
700	7	1	432.38	27.7	-19.9	14.9280962182	0.1860226901	14.9280962182	0.1860226901
700	70	10	46.0939	28.8	-20.5	159.1410736554	0.5882553971	159.1410736554	0.5882553971
700	140	20	23.2099	29.3	-20.7	320.5325134505	0.8319187607	320.5325134505	0.8319187607
700	210	30	15.6174	29.8	-21	485.2774061937	1.0188882356	485.2774061937	1.0188882356
800	8	1	420.453	28.6	-20.4	8.0921358997	0.1607376599	8.0921358997	0.1607376599
800	80	10	44.1387	29.7	-20.9	84.9503651627	0.508297111	84.9503651627	0.508297111
800	160	20	21.8901	30.1	-21.1	168.5207755053	0.7188406681	168.5207755053	0.7188406681
800	240	30	14.5225	30.6	-21.4	251.5530612066	0.8803964216	251.5530612066	0.8803964216
900	9	1	398.638	29.4	-20.8	4.6277513778	0.1416540658	4.6277513778	0.1416540658
900	90	10	41.3257	30.5	-21.4	47.9746198589	0.4479494876	47.9746198589	0.4479494876
900	180	20	20.2458	30.8	-21.5	94.0126418902	0.6334962407	94.0126418902	0.6334962407
900	270	30	13.2577	31.3	-21.7	138.5166629805	0.7758712718	138.5166629805	0.7758712718
1000	10	1	370.892	30.3	-21.3	2.7563172078	0.1267073027	2.7563172078	0.1267073027
1000	100	10	38.0352	31.3	-21.8	28.2662004737	0.4006836727	28.2662004737	0.4006836727
1000	200	20	18.4346	31.6	-21.9	54.7993542038	0.5666522842	54.7993542038	0.5666522842
1000	300	30	11.948	31.9	-22.1	79.9133715437	0.694004479	79.9133715437	0.694004479
1100	11	1	339.594	31.1	-21.7	1.6926796887	0.1146660644	1.6926796887	0.1146660644
1100	110	10	34.67	32	-22.2	17.2809898898	0.3626059339	17.2809898898	0.3626059339
1100	220	20	16.6274	32.3	-22.3	33.1511890735	0.5128022296	33.1511890735	0.5128022296
1100	330	30	10.7122	32.6	-22.4	48.0547095207	0.6280519007	48.0547095207	0.6280519007
1200	12	1	307.912	31.8	-22	1.0687709298	0.1047479948	1.0687709298	0.1047479948
1200	120	10	31.1872	32.7	-22.5	10.8251619757	0.3312422438	10.8251619757	0.3312422438
1200	240	20	14.8925	32.9	-22.6	20.676909081	0.4684472736	20.676909081	0.4684472736
1200	360	30	9.52657	33.2	-22.7	29.7602853062	0.5737283958	29.7602853062	0.5737283958
1300	13	1	276.478	32.4	-22.4	0.689288061	0.0964309083	0.689288061	0.0964309083
1300	130	10	27.9465	33.3	-22.8	6.9673495886	0.3049413071	6.9673495886	0.3049413071
1300	260	20	13.2814	33.5	-22.9	13.2447579233	0.4312521323	13.2447579233	0.4312521323
1300	390	30	8.44618	33.7	-23	18.9514750947	0.5281738373	18.9514750947	0.5281738373
1400	14	1	247.624	33	-22.7	0.4550827469	0.0893522766	0.4550827469	0.0893522766
1400	140	10	24.8778	33.9	-23.1	4.5720356509	0.2825567082	4.5720356509	0.2825567082
1400	280	20	11.7779	34.1	-23.2	8.6581576656	0.3995955288	8.6581576656	0.3995955288
1400	420	30	7.45044	34.3	-23.3	12.3231594295	0.4894025746	12.3231594295	0.4894025746
1500	15	1	219.874	33.7	-23	0.3045309094	0.0832521751	0.3045309094	0.0832521751
1500	150	10	22.0693	34.5	-23.4	3.0566524462	0.2632664934	3.0566524462	0.2632664934
1500	300	20	10.3947	34.7	-23.5	5.758766283	0.3723150455	5.758766283	0.3723150455
1500	450	30	6.55766	34.8	-23.5	8.1742686593	0.4559909425	8.1742686593	0.4559909425
1600	16	1	194.951	34.3	-23.3	0.2074071746	0.0779391725	0.2074071746	0.0779391725
1600	160	10	19.4951	35.1	-23.7	2.0740717461	0.246465304	2.0740717461	0.246465304
1600	320	20	9.15678	35.2	-23.7	3.8967368586	0.3485545755	3.8967368586	0.3485545755
1600	480	30	5.76718	35.3	-23.8	5.5221007244	0.4268904288	5.5221007244	0.4268904288
1700	17	1	171.698	34.8	-23.6	0.1426666236	0.0732690398	0.1426666236	0.0732690398
1700	17	1	171.698	34.9	-23.6	0.1426666236	0.0732690398	0.1426666236	0.0732690398
1700	170	10	17.1519	35.7	-24	1.4251788965	0.2316970477	1.4251788965	0.2316970477
1700	340	20	8.04902	35.7	-24	2.6752239558	0.3276691072	2.6752239558	0.3276691072
1700	510	30	5.05816	35.8	-24	3.7826156861	0.4013110586	3.7826156861	0.4013110586
1800	18	1	150.955	35.4	-23.9	0.0994061522	0.0691309705	0.0994061522	0.0691309705
1800	18	1	150.955	35.5	-23.9	0.0994061522	0.0691309705	0.0994061522	0.0691309705
1800	180	10	15.0926	36.1	-24.2	0.9938705528	0.2186113235	0.9938705528	0.2186113235
1800	360	20	7.06436	36.2	-24.2	1.8607951919	0.3091630986	1.8607951919	0.3091630986
1800	540	30	4.42835	36.2	-24.2	2.6245219487	0.3786459195	2.6245219487	0.3786459195
1900	19	1	132.543	36	-24.1	0.0700748449	0.0654383817	0.0700748449	0.0654383817
1900	190	10	13.2475	36.7	-24.4	0.7003889367	0.2069343326	0.7003889367	0.2069343326
1900	380	20	6.19105	36.7	-24.4	1.3092713121	0.2926493396	1.3092713121	0.2926493396
1900	570	30	3.88092	36.7	-24.5	1.8466413203	0.3584207778	1.8466413203	0.3584207778
2000	20	1	115.948	36.6	-24.4	0.0497894249	0.0621226074	0.0497894249	0.0621226074
2000	200	10	11.5445	37.2	-24.7	0.4957343079	0.1964489334	0.4957343079	0.1964489334
2000	400	20	5.42183	37.2	-24.7	0.9312788402	0.277820746	0.9312788402	0.277820746
2000	600	30	3.39436	37.1	-24.7	1.311820031	0.3402595338	1.311820031	0.3402595338
